Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1594579371.404121,59.000000,0.000000,4271.794922,4322.051270,4126.666504,4066.666748,4222.563965,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.411823,60.000000,0.000000,4269.743652,4320.000000,4141.025879,4052.307617,4228.717773,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,30.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.093751,-76.563667,-38.281834,6.586226
1594579371.419525,61.000000,0.000000,4268.205078,4303.589844,4152.820313,4070.769287,4218.974121,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.427227,62.000000,0.000000,4283.589844,4301.538574,4161.025879,4076.410156,4217.948730,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,31.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.093751,-76.563667,-38.281834,5.927604
1594579371.435129,63.000000,0.000000,4290.256348,4326.153809,4147.179688,4076.410156,4220.512695,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.442831,64.000000,0.000000,4275.897461,4342.563965,4128.205078,4077.435791,4215.897461,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,32.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.093751,-76.563667,-38.281834,5.334844
1594579371.450733,65.000000,0.000000,4278.461426,4334.358887,4138.461426,4063.589844,4220.000000,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.458435,66.000000,0.000000,4275.897461,4311.794922,4134.871582,4062.564209,4208.205078,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,33.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.093751,-76.563667,-38.281834,4.801359
1594579371.466336,67.000000,0.000000,4275.897461,4311.794922,4130.256348,4076.410156,4199.487305,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.474038,68.000000,0.000000,4283.077148,4307.692383,4139.487305,4051.794922,4205.641113,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,34.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.093751,-76.563667,-38.281834,4.321223
1594579371.481940,69.000000,0.000000,4271.282227,4281.025879,4134.358887,4030.769287,4201.025879,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.489842,70.000000,0.000000,4272.820313,4307.692383,4143.589844,4070.256348,4206.666504,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,35.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.062501,-76.563667,-38.281834,3.889101
1594579371.497544,71.000000,0.000000,4300.512695,4361.025879,4169.230957,4090.769287,4228.717773,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.505246,72.000000,0.000000,4323.077148,4361.025879,4183.589844,4097.436035,4244.102539,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,36.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.000015,0.000000,-0.093751,-76.563667,-38.281834,3.500191
1594579371.512948,73.000000,0.000000,4300.000000,4324.102539,4157.948730,4076.410156,4221.538574,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.520649,74.000000,0.000000,4267.179688,4289.230957,4114.871582,3991.281982,4190.256348,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,37.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.093751,-76.563667,-38.281834,3.150172
1594579371.528351,75.000000,0.000000,4293.333496,4289.230957,4124.102539,3988.205078,4216.410156,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.536053,76.000000,0.000000,4320.000000,4324.102539,4142.051270,4063.589844,4241.025879,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,38.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.062516,0.000000,-0.093751,-76.563667,-38.281834,6.663338
1594579371.543955,77.000000,0.000000,4313.846191,4358.974121,4133.333496,4072.307617,4227.179688,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.551657,78.000000,0.000000,4312.820313,4344.615234,4142.051270,4052.307617,4230.769043,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,39.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.093751,-76.563667,-38.281834,5.997004
1594579371.559559,79.000000,0.000000,4298.461426,4285.128418,4147.179688,4053.333252,4231.282227,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.567261,80.000000,0.000000,4289.230957,4268.717773,4142.051270,4040.512939,4214.871582,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,40.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.062501,-76.563667,-38.281834,5.397304
1594579371.575163,81.000000,0.000000,4308.205078,4281.025879,4156.922852,4017.948730,4212.820313,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.582865,82.000000,0.000000,4318.974121,4268.717773,4173.846191,4018.461426,4218.974121,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,41.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.062501,-76.563667,-38.281834,4.857574
1594579371.590566,83.000000,0.000000,4302.051270,4264.615234,4165.641113,4050.769287,4207.692383,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.598269,84.000000,0.000000,4282.051270,4278.974121,4149.230957,4083.589844,4192.307617,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,42.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.062501,-76.563667,-38.281834,4.371816
1594579371.606170,85.000000,0.000000,4285.641113,4278.974121,4146.153809,4063.076904,4204.615234,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.613872,86.000000,0.000000,4291.282227,4256.410156,4141.025879,3990.256348,4203.077148,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,43.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.093751,-76.563667,-38.281834,3.934634
1594579371.621774,87.000000,0.000000,4287.179688,4248.205078,4137.948730,3981.538574,4183.589844,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.629476,88.000000,0.000000,4270.256348,4262.563965,4127.692383,4029.743652,4175.384766,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,44.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,-0.031250,-0.062501,-76.563667,-38.281834,3.541171
1594579371.637378,89.000000,0.000000,4249.230957,4258.461426,4102.051270,4013.846191,4163.077148,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.645080,90.000000,0.000000,4275.897461,4272.820313,4122.051270,4002.564209,4181.538574,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,45.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.093751,-76.563667,-38.281834,7.015237
1594579371.652982,91.000000,0.000000,4302.051270,4281.025879,4149.743652,4043.076904,4210.769043,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.660684,92.000000,0.000000,4278.461426,4248.205078,4128.205078,4043.589844,4190.256348,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,46.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.062501,-76.563667,-38.281834,6.313714
1594579371.668585,93.000000,0.000000,4253.846191,4244.102539,4114.871582,3988.205078,4157.436035,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.676287,94.000000,0.000000,4243.077148,4256.410156,4124.615234,3962.564209,4155.384766,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,47.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,-0.031250,-0.093751,-76.563667,-38.281834,5.682342
1594579371.684189,95.000000,0.000000,4268.717773,4274.871582,4151.794922,4004.615479,4192.820313,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.692091,96.000000,0.000000,4305.128418,4305.641113,4170.256348,4042.051270,4227.692383,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,48.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.093751,-76.563667,-38.281834,5.114108
1594579371.699993,97.000000,0.000000,4307.179688,4322.051270,4165.128418,4040.512939,4225.641113,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.707695,98.000000,0.000000,4316.410156,4332.307617,4168.717773,4031.794922,4232.820313,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,49.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.093751,-76.563667,-38.281834,4.602697
1594579371.715396,99.000000,0.000000,4322.051270,4340.512695,4163.077148,4033.333252,4244.102539,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.723098,100.000000,0.000000,4316.922852,4348.717773,4158.974121,4042.051270,4237.948730,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,50.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.062501,-76.563667,-38.281834,4.142427
1594579371.730800,101.000000,0.000000,4327.692383,4358.974121,4177.948730,4064.615479,4237.436035,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.738502,102.000000,0.000000,4329.230957,4344.615234,4177.948730,4078.461426,4231.282227,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,51.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.062501,-76.563667,-38.281834,3.728185
1594579371.746404,103.000000,0.000000,4326.666504,4340.512695,4178.461426,4057.948730,4228.205078,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.754106,104.000000,0.000000,4324.102539,4344.615234,4181.538574,4026.153809,4232.307617,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,52.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.062501,-76.563667,-38.281834,3.355366
1594579371.762008,105.000000,0.000000,4310.256348,4330.256348,4161.025879,4037.948730,4227.692383,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.769710,106.000000,0.000000,4316.922852,4336.410156,4156.410156,4091.281982,4232.307617,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,53.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.062501,-76.563667,-38.281834,3.019830
1594579371.777612,107.000000,0.000000,4327.692383,4358.974121,4169.743652,4065.128174,4239.487305,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.785314,108.000000,0.000000,4318.974121,4344.615234,4172.820313,4007.692383,4240.512695,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,54.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.062501,-76.563667,-38.281834,2.717847
1594579371.793215,109.000000,0.000000,4305.128418,4313.846191,4154.871582,4007.692383,4224.615234,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.800917,110.000000,0.000000,4287.692383,4305.641113,4132.820313,4016.923096,4194.358887,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,55.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.062501,-76.563667,-38.281834,2.446062
1594579371.808819,111.000000,0.000000,4286.666504,4307.692383,4141.538574,4043.589844,4201.025879,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,
1594579371.816521,112.000000,0.000000,4297.948730,4299.487305,4159.487305,4065.128174,4234.358887,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,56.000000,0.000000,0.498043,0.500000,0.468750,-0.531250,1.031266,0.000000,-0.062501,-76.563667,-38.281834,2.201456
